performanceId,name,stageName,startTime,endTime,description,genreList,socialList
PID-afd3f64c-fa24-404a-ad8c-04062283eb48,NITRO MATE LOUNGE + CLuG Sound check,CLuG deep n' Salty,2026-06-04 14:00,2026-06-04 17:00,,,
PID-2eb32d95-6077-4f1e-9634-3005784552ba,Jelly DJs,Jellyfish Lounge,2026-06-04 15:00,2026-06-04 19:00,,house,
PID-13f4a33c-0747-4566-a67e-cba62fa2de64,Pirate Warming,Thirsty Bar,2026-06-04 18:00,2026-06-04 19:00,,,
PID-fe54b9cb-cebe-4336-b42e-19405659f463,Skipping School / is this on,Ironic Spin,2026-06-04 18:00,2026-06-04 19:00,,deep house,
PID-2790bda5-8bd0-48b7-848f-dc815b04d951,Mikey B,Jellyfish Lounge,2026-06-04 19:00,2026-06-04 20:00,,house,
PID-695311ce-52dd-43f2-bb92-445c9ab8b9e7,shawnessy,Thirsty Bar,2026-06-04 19:00,2026-06-04 20:00,,,
PID-06c35678-e40b-4715-b21b-8e79b1c4ca81,Nudlz,CLuG deep n' Salty,2026-06-04 19:00,2026-06-04 20:00,,,
PID-34ef6fe1-e8fd-41d4-9cc9-5ce198a91ef8,Boomtown,Ironic Spin,2026-06-04 19:00,2026-06-04 20:00,,house,
PID-08d028d9-c877-4e4f-b1db-db67d9ec054c,MyLove,Jellyfish Lounge,2026-06-04 20:00,2026-06-04 21:00,,house,
PID-a9cd085d-8e6f-4331-abf0-f871a37854cb,Sassbot,Thirsty Bar,2026-06-04 20:00,2026-06-04 21:00,,,
PID-4a729d8a-9f20-452f-86d6-eeeecb0e44c1,BPMBabe,CLuG deep n' Salty,2026-06-04 20:00,2026-06-04 21:00,,,
PID-c02b804a-dc26-4e94-91dd-4753e21b300a,Cosmic Druid - Martin Crawford,Under The Mother Tree,2026-06-04 20:00,2026-06-04 21:00,,,
PID-22de223e-0468-4cab-a773-506fa7f5877e,DJ Sage,Ironic Spin,2026-06-04 20:00,2026-06-04 21:00,,house,
PID-9509c1ac-4fde-4627-9f1e-378b63a12cf2,Torsheedeh,SKYBAR,2026-06-04 20:30,2026-06-04 22:00,,"tropical,disco house",
PID-d1168644-5fad-4451-b341-1544188a6e1a,Jellyfish Jam,Jellyfish Lounge,2026-06-04 21:00,2026-06-05 0:00,,house,
PID-c57ae4d5-bf85-4cb6-a5f4-0a91a0bf7784,SoS,Thirsty Bar,2026-06-04 21:00,2026-06-05 0:00,,,
PID-d567cf63-3c05-459f-831d-df33d0842701,Boomtown,CLuG deep n' Salty,2026-06-04 21:00,2026-06-04 22:00,,,
PID-f28eb382-bfb2-48de-8aa9-1f8f05d7cf43,Leave No Trace - Tracy,Under The Mother Tree,2026-06-04 21:00,2026-06-04 22:45,,,
PID-1e2c55a2-fe70-4433-93ea-f4ac774a5bb4,BEATFARMER,Ironic Spin,2026-06-04 21:00,2026-06-04 22:00,,world beats,
PID-6774f83b-a9eb-42f0-b33b-f62dd16c77d7,icedtang,SKYBAR,2026-06-04 22:00,2026-06-04 23:30,,"spicy latin,bouncy house",
PID-3afdbd88-2dc0-4b39-a581-e3f9b78e231d,Chunky Chornz,CLuG deep n' Salty,2026-06-04 22:00,2026-06-04 23:00,,,
PID-a2ce0044-03b8-47d7-ba05-858a5273653a,Guru,Ironic Spin,2026-06-04 22:00,2026-06-04 23:00,,garridge,
